Time,Open,High,Low,Close,Volume,Count,Wap
20230317  03:00:00,307.45,307.74,307.17,307.44,522.72,110,307.477
20230317  03:02:00,307.42,307.65,307.39,307.62,30.49,8,307.586
20230317  03:04:00,307.49,307.72,307.47,307.72,31.99,6,307.519
20230317  03:06:00,307.59,307.59,307.42,307.43,40.55,12,307.475
20230317  03:08:00,307.67,307.67,307.58,307.62,35.6,8,307.599
20230317  03:10:00,307.71,307.78,307.68,307.78,109.99,17,307.722
20230317  03:12:00,307.76,307.76,307.65,307.65,79.65,11,307.717
20230317  03:14:00,307.62,307.62,307.51,307.6,29.2,11,307.55
20230317  03:16:00,307.62,307.67,307.6,307.6,38.88,9,307.65
20230317  03:18:00,307.53,307.57,307.48,307.5,65.89,10,307.505
20230317  03:20:00,307.41,307.58,307.41,307.53,46.95,10,307.494
20230317  03:22:00,307.53,307.53,307.53,307.53,0,,307.53
20230317  03:24:00,307.55,307.62,307.55,307.6,7.5,3,307.569
20230317  03:26:00,307.55,307.55,307.54,307.54,9,2,307.549
20230317  03:28:00,307.7,307.89,307.7,307.75,910.03,128,307.811
20230317  03:30:00,307.75,307.82,307.62,307.62,202.15,33,307.729
20230317  03:32:00,307.56,307.58,307.41,307.52,95.64,18,307.497
20230317  03:34:00,307.56,307.59,307.56,307.58,58,8,307.57
20230317  03:36:00,307.59,307.66,307.59,307.66,4,3,307.623
20230317  03:38:00,307.67,307.73,307.67,307.7,5.8,4,307.704
20230317  03:40:00,307.72,307.72,307.59,307.59,48.48,10,307.629
20230317  03:42:00,307.53,307.53,307.47,307.47,96.79,18,307.503
20230317  03:44:00,307.39,307.5,307.39,307.45,52.03,13,307.416
20230317  03:46:00,307.49,307.49,307.38,307.38,49.2,10,307.438
20230317  03:48:00,307.34,307.42,307.31,307.42,59.67,13,307.37
20230317  03:50:00,307.38,307.43,307.35,307.35,20.28,7,307.397
20230317  03:52:00,307.28,307.28,306.98,307.09,75.48,19,307.189
20230317  03:54:00,307.1,307.1,307.04,307.04,38.5,7,307.065
20230317  03:56:00,307.11,307.11,307.11,307.11,5.49,1,307.11
20230317  03:58:00,307.04,307.16,307.04,307.14,10.16,4,307.086
20230317  04:00:00,307.38,307.38,307.3,307.3,6.88,2,307.322
20230317  04:02:00,307.39,307.52,307.39,307.44,35.21,8,307.456
20230317  04:04:00,307.39,307.39,307.36,307.36,2.9,2,307.37
20230317  04:06:00,307.31,307.33,307.23,307.33,101.6,16,307.27
20230317  04:08:00,307.36,307.36,307.18,307.18,33.5,7,307.304
20230317  04:10:00,307.18,307.18,307.16,307.16,33,5,307.165
20230317  04:12:00,307.07,307.07,306.89,306.96,274.8,35,306.919
20230317  04:14:00,306.84,306.85,306.7,306.7,54.7,9,306.802
20230317  04:16:00,306.76,307.14,306.76,307.09,85.7,20,306.857
20230317  04:18:00,307.01,307.01,307.01,307.01,5,1,307.01
20230317  04:20:00,307.12,307.12,306.96,306.96,97,12,307.037
