Time,Open,High,Low,Close,Volume,Count,Wap
20220407  03:00:00,353.49,354.3,353.38,354.05,548.19,191,353.794
20220407  03:15:00,354.06,354.27,353.86,354.1,297.89,88,354.103
20220407  03:30:00,354.05,354.28,353.78,354.16,161.88,48,354.017
20220407  03:45:00,354.2,354.98,354.2,354.93,150.86,58,354.674
20220407  04:00:00,354.84,354.91,354.49,354.57,145.43,42,354.687
20220407  04:15:00,354.63,354.89,354.58,354.69,220.86,58,354.746
20220407  04:30:00,354.72,355.11,354.72,355.03,247.82,70,354.991
20220407  04:45:00,354.9,355.08,354.79,355.08,52.11,19,354.863
20220407  05:00:00,355,355.15,355,355.05,80.18,24,355.084
20220407  05:15:00,355.16,355.22,355.01,355.06,103.49,45,355.105
20220407  05:30:00,355.01,355.04,354.7,354.79,182.18,51,354.88
20220407  05:45:00,354.76,354.98,354.54,354.54,449.85,84,354.735
20220407  06:00:00,354.59,355.56,354.12,355.07,1149.16,392,354.733
20220407  06:15:00,355.09,355.12,354.18,354.33,784.36,426,354.576
20220407  06:30:00,354.34,354.6,353.98,354.19,1134.73,460,354.194
20220407  06:45:00,354.18,354.48,353.94,354.36,447.2,203,354.143
20220407  07:00:00,354.24,355.53,351.75,353.55,1859.33,622,354.042
20220407  07:15:00,353.51,353.7,353.13,353.3,1200.31,507,353.404
20220407  07:30:00,353.25,353.62,353.05,353.39,1087.29,469,353.441
20220407  07:45:00,353.31,353.45,352.49,352.65,1416.22,649,352.762
20220407  08:00:00,352.72,352.87,351.98,352.13,2071.69,864,352.247
20220407  08:15:00,352.14,352.62,351.93,352.23,1308.74,575,352.315
20220407  08:30:00,352.24,355,352.09,353.22,40188.49,21509,353.768
20220407  08:45:00,353.21,354.82,352.2,354.6,32755.47,19418,353.548
20220407  09:00:00,354.57,355.73,353.29,354.48,32419.25,19348,354.417
20220407  09:15:00,354.49,354.49,352.98,353.51,19125.05,10967,353.678
20220407  09:30:00,353.49,354.5,351.68,351.9,24126.94,14023,352.953
20220407  09:45:00,351.9,352.8,351.32,352.4,17975.61,9968,352.12
20220407  10:00:00,352.4,353.3,351.29,351.64,17893.17,9692,352.334
20220407  10:15:00,351.61,352.09,350.8,351.06,15513.48,6975,351.489
20220407  10:30:00,351.08,351.15,350.21,350.48,13626.29,6293,350.709
20220407  10:45:00,350.46,351.15,349.58,350.12,15532.02,7190,350.193
20220407  11:00:00,350.11,351.11,349.94,350.75,13905.37,6448,350.396
20220407  11:15:00,350.75,351.08,349.88,350.18,9614.77,4858,350.476
20220407  11:30:00,350.19,350.35,349.25,349.26,9828.06,4697,349.756
20220407  11:45:00,349.27,349.85,348.69,349.69,15448.83,7048,349.23
20220407  12:00:00,349.66,351.62,349.58,351.24,15207.02,6326,350.709
20220407  12:15:00,351.21,352.46,351.04,352.18,16613.45,7550,351.694
20220407  12:30:00,352.18,352.61,351.7,351.74,11795.07,6218,352.115
20220407  12:45:00,351.73,353.29,351.26,353.06,15559.51,7779,352.096
20220407  13:00:00,353.05,353.6,352.61,352.95,12946.64,6085,353.138
20220407  13:15:00,352.95,353.95,352.27,352.69,12766.21,6185,353.07
20220407  13:30:00,352.68,353.34,352.39,353.18,9889.71,4879,352.754
20220407  13:45:00,353.18,354.99,352.73,354.72,19556.03,9801,353.858
20220407  14:00:00,354.67,356.17,354.58,356.17,24156.69,11810,355.446
20220407  14:15:00,356.18,356.35,354.79,354.95,16837.65,8441,355.487
20220407  14:30:00,354.96,356.25,354.87,355.74,18301.08,8766,355.695
20220407  14:45:00,355.76,356.25,353.82,354.13,42243.53,19355,354.586
20220407  15:00:00,354.12,354.35,353.87,354.15,8512.04,907,354.092
20220407  15:15:00,354.25,354.31,353.63,353.71,838.71,185,354.015
20220407  15:30:00,353.73,354.1,353.65,353.78,667.46,99,353.909
20220407  15:45:00,353.8,354.08,353.75,353.96,837.69,170,354.014
20220407  16:00:00,353.93,354.04,353.89,353.89,35.65,13,353.963
20220407  16:15:00,353.89,354.1,353.89,353.98,992.52,30,354.09
20220407  16:30:00,354.09,354.14,354,354.09,265.27,53,354.107
20220407  16:45:00,354.14,354.16,354.09,354.09,54.57,37,354.119
20220407  17:00:00,354.09,354.3,353.98,354.25,468.59,133,354.103
20220407  17:15:00,354.24,354.28,354.12,354.12,206.03,56,354.238
20220407  17:30:00,354.1,354.15,354.08,354.15,89.47,17,354.109
20220407  17:45:00,354.13,354.15,353.95,354.06,388.31,76,354.011
20220407  18:00:00,354.1,354.35,354,354.34,217.38,52,354.18
20220407  18:15:00,354.35,354.49,354.25,354.46,524.52,118,354.405
20220407  18:30:00,354.48,354.55,354.36,354.48,342.06,80,354.442
20220407  18:45:00,354.46,354.89,354.46,354.69,1066.56,316,354.744
20220408  03:00:00,356.01,356.53,356.01,356.32,313.85,84,356.317
20220408  03:15:00,356.2,356.34,355.97,356.24,94.58,29,356.148
20220408  03:30:00,356.26,356.33,355.83,355.9,120.25,36,356.193
20220408  03:45:00,355.76,355.76,355.16,355.21,164.12,48,355.456
20220408  04:00:00,355.08,355.08,354.64,354.94,103.95,38,354.841
20220408  04:15:00,354.88,355.06,354.8,354.99,120.08,29,354.958
20220408  04:30:00,355.01,355.01,354.62,354.69,84.51,28,354.848
20220408  04:45:00,354.7,355,354.7,354.91,20.08,9,354.936
20220408  05:00:00,354.9,355.07,354.43,354.43,188.85,42,354.655
20220408  05:15:00,354.5,354.68,354.1,354.31,217.76,72,354.317
20220408  05:30:00,354.29,354.57,354.14,354.54,134.68,39,354.278
20220408  05:45:00,354.61,355.2,354.52,355.15,149.87,46,354.951
20220408  06:00:00,355.17,355.38,354.95,355.35,322.04,109,355.155
20220408  06:15:00,355.21,355.26,355.02,355.16,186.93,139,355.155
20220408  06:30:00,355.1,355.5,354.95,355.33,599.57,217,355.375
20220408  06:45:00,355.34,355.42,354.98,355.11,894.39,344,355.153
20220408  07:00:00,355.21,356.49,353.9,354.58,1811.04,627,355.007
20220408  07:15:00,354.57,354.91,354.5,354.69,627.59,260,354.75
20220408  07:30:00,354.73,354.81,353.69,353.84,1445.26,548,354.126
20220408  07:45:00,353.79,353.85,353.36,353.53,1100.97,546,353.599
20220408  08:00:00,353.47,353.47,352.35,352.43,3578.92,1243,352.895
20220408  08:15:00,352.44,352.82,352.2,352.37,2453.26,818,352.59
20220408  08:30:00,352.32,352.54,349.81,349.98,39700.77,21500,350.926
20220408  08:45:00,350,350.83,348.62,348.84,30436.6,17344,349.675
20220408  09:00:00,348.82,350.63,348.71,349.83,25723.64,12691,349.711
20220408  09:15:00,349.85,351.1,349.09,350.84,19279.15,9353,350.131
20220408  09:30:00,350.88,351.42,350.29,350.35,18807.7,9416,350.917
20220408  09:45:00,350.29,352.42,349.67,352.39,22128.91,10955,351.178
20220408  10:00:00,352.38,353.04,351.93,352.28,20293.93,11608,352.452
20220408  10:15:00,352.29,352.34,350.98,351.37,14753.09,7968,351.51
20220408  10:30:00,351.41,351.94,350.49,351.29,18851.91,9281,351.22
20220408  10:45:00,351.29,352.12,351.03,351.83,9108.85,5323,351.686
20220408  11:00:00,351.81,352.38,351.35,351.8,9998.54,5997,351.864
20220408  11:15:00,351.8,353.09,351.38,352.89,14356.47,8157,352.486
20220408  11:30:00,352.88,352.93,352.13,352.37,10503.84,5831,352.471
20220408  11:45:00,352.34,352.82,351.92,352.66,8301.22,4193,352.388
20220408  12:00:00,352.66,352.67,351.54,351.57,8514.89,4660,352.062
20220408  12:15:00,351.55,351.65,350.95,351.09,8901.53,4553,351.334
20220408  12:30:00,351.11,351.14,350.4,350.75,10409.32,4791,350.774
20220408  12:45:00,350.77,350.82,350.23,350.51,11817.38,5198,350.496
20220408  13:00:00,350.5,350.96,350.12,350.89,14484.48,6926,350.571
20220408  13:15:00,350.91,351.14,349.37,349.65,19655.51,9267,350.267
20220408  13:30:00,349.67,349.97,349.2,349.53,12838.49,6354,349.569
20220408  13:45:00,349.53,350.91,349.44,350.22,16898.56,7892,350.271
20220408  14:00:00,350.24,351.01,349.72,350.44,19042.58,8029,350.208
20220408  14:15:00,350.41,351.05,349.88,350.33,12650.68,5595,350.383
20220408  14:30:00,350.35,350.61,349.47,350.13,15862.69,7509,349.868
20220408  14:45:00,350.12,350.3,348.5,349.11,41277.29,19517,349.032
20220408  15:00:00,349.12,349.57,349.11,349.14,11362.67,1668,349.251
20220408  15:15:00,349.12,349.24,349.03,349.15,808.51,281,349.136
20220408  15:30:00,349.14,349.14,349,349.1,339.8,193,349.078
20220408  15:45:00,349.08,349.15,348.91,348.99,1382.18,256,349.098
20220408  16:00:00,349.03,349.15,348.9,349,531.53,46,349.106
20220408  16:15:00,348.91,349,348.91,349,81.39,28,348.937
20220408  16:30:00,348.97,348.99,348.86,348.86,23.34,14,348.927
20220408  16:45:00,348.81,348.86,348.53,348.69,208.09,90,348.679
20220408  17:00:00,348.7,348.74,348.7,348.7,25.16,11,348.723
20220408  17:15:00,348.72,348.72,348.67,348.7,6.22,4,348.699
20220408  17:30:00,348.75,348.77,348.71,348.75,41.6,20,348.759
20220408  17:45:00,348.71,348.8,348.69,348.8,37.26,16,348.741
20220408  18:00:00,348.8,348.8,348.71,348.71,19.85,6,348.74
20220408  18:15:00,348.73,349.02,348.7,348.7,99.92,28,348.887
20220408  18:30:00,348.68,348.7,348.65,348.65,25.59,11,348.67
20220408  18:45:00,348.57,348.7,348.52,348.66,33.5,18,348.585
20220411  03:00:00,348,348,346.01,346.01,663.57,179,346.499
20220411  03:15:00,345.97,346.23,344.81,345.26,842.97,202,345.447
20220411  03:30:00,345.24,345.39,344.96,345.19,200.67,61,345.234
20220411  03:45:00,345.22,345.66,345.21,345.28,260.57,72,345.401
20220411  04:00:00,345.25,345.48,345.11,345.23,233.12,54,345.275
20220411  04:15:00,345.24,345.75,345.24,345.75,413.18,93,345.566
20220411  04:30:00,345.58,345.69,345.33,345.69,293.87,74,345.574
20220411  04:45:00,345.72,346.37,345.61,346.25,783.86,124,346.105
20220411  05:00:00,346.23,346.53,346.21,346.4,447.45,107,346.352
20220411  05:15:00,346.4,346.79,345.93,346.03,298.39,77,346.399
20220411  05:30:00,346.21,346.3,345.4,345.44,207.48,71,345.852
20220411  05:45:00,345.42,346.53,345.42,346.53,352.49,88,345.949
20220411  06:00:00,346.59,346.76,346.27,346.36,794.01,256,346.494
20220411  06:15:00,346.17,346.24,345.77,346.1,595.82,274,346.028
20220411  06:30:00,346.03,346.03,345.17,345.3,1001.46,411,345.539
20220411  06:45:00,345.3,345.5,345.2,345.2,901.81,340,345.369
20220411  07:00:00,346.55,349.42,344.46,344.74,3508.56,1155,345.111
20220411  07:15:00,344.67,344.79,344.11,344.32,1596.64,679,344.426
20220411  07:30:00,344.36,344.86,344.19,344.83,2307.88,731,344.549
20220411  07:45:00,344.87,345.17,344.76,344.8,2310.83,794,344.994
20220411  08:00:00,344.76,345.04,344.55,345,1404.53,606,344.787
20220411  08:15:00,344.97,345.14,344.65,344.79,2077.79,645,344.966
20220411  08:30:00,344.81,345.27,343.37,344.9,44165.36,24659,344.348
20220411  08:45:00,344.89,345.75,344.2,344.35,27191.87,13809,344.987
20220411  09:00:00,344.33,345.5,343.91,344.38,25150.39,13296,344.606
20220411  09:15:00,344.42,345.05,342.46,342.89,23451.05,12816,343.6
20220411  09:30:00,342.89,343.79,341.94,342.09,25343.12,11784,342.73
20220411  09:45:00,342.1,342.6,341.78,342.15,17929.48,9364,342.184
20220411  10:00:00,342.13,342.73,341.89,342.18,13678.85,7093,342.306
20220411  10:15:00,342.16,342.51,342.01,342.39,7257.29,3813,342.254
20220411  10:30:00,342.39,343.26,342.28,343.05,16379.85,7929,342.897
20220411  10:45:00,343.04,343.33,342.34,342.73,10600.36,5022,342.878
20220411  11:00:00,342.73,342.83,342.21,342.31,7518.7,3574,342.526
20220411  11:15:00,342.34,342.7,342.09,342.16,7197.83,4110,342.369
20220411  11:30:00,342.17,342.54,342,342.48,7993.53,4532,342.296
20220411  11:45:00,342.51,343.35,342.49,343.16,12173.84,6231,342.891
20220411  12:00:00,343.12,344.12,343.12,343.95,12975.22,6180,343.81
20220411  12:15:00,343.96,344.01,342.96,343.25,12358.39,5458,343.345
20220411  12:30:00,343.24,343.84,343.07,343.14,9027.78,4074,343.389
20220411  12:45:00,343.11,343.25,342.71,343.2,7576.69,4217,342.999
20220411  13:00:00,343.21,343.8,342.57,342.69,11450.24,6296,343.229
20220411  13:15:00,342.67,342.67,342.25,342.39,7902.04,4052,342.442
