Time,Open,High,Low,Close,Volume,Count,Wap
20220407  03:00:00,353.49,355.11,353.38,355.08,1825.04,574,354.316
20220407  05:00:00,355,355.56,353.94,354.36,4331.15,1685,354.524
20220407  07:00:00,354.24,355.53,351.75,354.6,81887.54,44613,353.597
20220407  09:00:00,354.57,355.73,349.58,350.12,156211.81,84456,352.563
20220407  11:00:00,350.11,353.29,348.69,353.06,107972.08,50924,350.855
20220407  13:00:00,353.05,356.35,352.27,354.13,156697.54,75322,354.495
20220407  15:00:00,354.12,354.35,353.63,354.09,12203.91,1494,354.071
20220407  17:00:00,354.09,354.89,353.95,354.69,3302.92,848,354.396
20220408  03:00:00,356.01,356.53,354.62,354.91,1021.42,301,355.69
20220408  05:00:00,354.9,355.5,354.1,355.11,2694.09,1008,355.045
20220408  07:00:00,355.21,356.49,348.62,348.84,81154.41,42886,350.808
20220408  09:00:00,348.82,353.04,348.71,351.83,148947.18,76595,350.999
20220408  11:00:00,351.81,353.09,350.23,350.51,82803.19,43380,351.732
20220408  13:00:00,350.5,351.14,348.5,349.11,152710.28,71089,349.865
20220408  15:00:00,349.12,349.57,348.53,348.69,14737.51,2576,349.211
20220408  17:00:00,348.7,349.02,348.52,348.66,289.1,114,348.767
20220411  03:00:00,348,348,344.81,346.25,3691.81,859,345.774
20220411  05:00:00,346.23,346.79,345.17,345.2,4598.91,1624,345.914
20220411  07:00:00,346.55,349.42,343.37,344.35,84563.46,43078,344.632
20220411  09:00:00,344.33,345.5,341.78,342.73,139790.39,71117,343.108
20220411  11:00:00,342.73,344.12,342,343.2,76821.98,38376,343.042
20220411  13:00:00,343.21,343.92,340.53,340.88,149449.41,69913,341.915
20220411  15:00:00,340.91,341.18,340.63,340.98,18704.91,2604,340.9
20220411  17:00:00,341.1,341.33,340.29,340.48,3086.35,877,340.88
20220412  03:00:00,340,342,339.86,341.71,2369.54,703,340.829
20220412  05:00:00,341.94,342,340.65,341.76,3462.19,1236,341.338
20220412  07:00:00,341.33,347.83,338.81,347.25,127873.26,57362,345.483
20220412  09:00:00,347.26,347.69,343.01,344.71,160818.57,100210,345.05
20220412  11:00:00,344.72,344.76,340.86,341.04,114334.3,60926,342.987
20220412  13:00:00,341.04,341.7,338.03,339.52,180472.13,93335,339.547
20220412  15:00:00,339.51,339.99,339.01,339.85,16760.92,2094,339.53
20220412  17:00:00,339.89,340.86,339.51,340.86,3246.45,965,340.237
20220413  03:00:00,342.06,342.88,340.85,340.98,2333.29,623,342.229
20220413  05:00:00,340.92,342.53,340.39,340.51,4436.75,1729,341.51
20220413  07:00:00,342.23,343.22,338.83,341.33,79237.58,39438,340.994
20220413  09:00:00,341.35,345.2,340.83,344.68,128736.3,68395,343.304
20220413  11:00:00,344.67,345.99,344.06,344.88,91097.1,47090,345.071
20220413  13:00:00,344.88,347.43,344.61,346.36,139327.93,72029,346.284
20220413  15:00:00,346.34,346.45,346.05,346.35,16850.92,1401,346.308
20220413  17:00:00,346.25,346.7,346.12,346.15,3440.51,740,346.346
20220414  03:00:00,347.08,347.37,346.28,346.7,1155.56,321,346.891
20220414  05:00:00,346.82,347.01,345.65,345.85,2274.61,899,346.37
20220414  07:00:00,346.86,348.01,343.51,343.77,80811.44,39081,345.166
20220414  09:00:00,343.77,344.4,341.27,341.49,148743.89,79906,342.365
20220414  11:00:00,341.48,341.86,340.03,341.69,96580.87,47108,340.893
20220414  13:00:00,341.69,342.18,338.21,338.4,156822.19,81855,339.697
20220414  15:00:00,338.42,338.52,338.01,338.35,32560.09,2880,338.374
20220414  17:00:00,338.43,338.43,337.9,337.91,1263.12,252,338.245
20220418  03:00:00,336.36,337.01,335.68,335.98,1757.71,452,336.349
20220418  05:00:00,336.1,337.79,336.07,337.05,3137.51,1142,337.099
20220418  07:00:00,336.71,339.35,335.3,337.76,83540.72,45888,338.106
20220418  09:00:00,337.74,341.04,337.01,337.93,114835.49,58358,339.126
20220418  11:00:00,337.94,340.44,335.79,339.89,101355.38,46956,337.612
20220418  13:00:00,339.9,340.87,336.72,338.96,134566.22,73956,338.924
20220418  15:00:00,338.97,340.71,338.69,340.34,22316.73,4601,339.677
20220418  17:00:00,340.18,341.45,340.08,341.4,2484.38,624,340.709
20220419  03:00:00,340.46,340.46,336.9,337.6,3983.83,1271,338.224
20220419  05:00:00,337.67,339.28,337.21,339.11,4385.25,1799,338.541
20220419  07:00:00,337.32,341.46,336.98,341.41,77602.33,37276,338.921
20220419  09:00:00,341.39,345.78,341.03,345.24,124211.63,62149,343.766
20220419  11:00:00,345.27,345.3,344.02,344.8,72210.32,35646,344.734
20220419  13:00:00,344.8,346.85,343.48,346.13,144320.85,76620,345.542
20220419  15:00:00,346.19,346.26,342.55,342.97,33054.86,6388,344.245
20220419  17:00:00,343.04,343.78,342.61,342.9,4224.71,1317,343.202
20220420  03:00:00,343.52,346.19,343.04,346.02,4312,1086,344.854
20220420  05:00:00,345.91,348.21,345.43,348.05,7278.04,2511,346.561
20220420  07:00:00,345.57,348.16,342.51,343.09,96258.75,52990,345.347
20220420  09:00:00,343.07,344.58,341.53,342.09,170501.09,95322,343.03
20220420  11:00:00,342.07,343.79,340.5,342.94,97947.09,52269,342.195
20220420  13:00:00,342.9,343.22,339.97,341.05,152937.08,90440,341.505
20220420  15:00:00,341.04,343.2,340.82,342.74,24082.32,4039,341.85
20220420  17:00:00,342.65,343.16,342.5,343.05,5037.06,1229,342.874
20220421  03:00:00,344.64,345.3,344.28,344.35,680.5,190,344.877
20220421  05:00:00,344.26,345.56,344.13,345.5,3855.46,1310,345.006
20220421  07:00:00,344.88,347.87,341.46,345.93,83564.13,46661,346.767
20220421  09:00:00,345.94,346.23,340.1,340.12,160589.27,95686,343.532
20220421  11:00:00,340.15,340.64,337.47,337.69,145471.88,78971,339.083
20220421  13:00:00,337.66,337.66,333.2,334.22,232528.56,125522,335.012
20220421  15:00:00,334.22,334.59,332.9,333.99,20357.68,2987,334.1
20220421  17:00:00,334.02,334.36,333.13,333.32,2184.14,644,333.83
20220422  03:00:00,333.36,334.81,332.63,332.91,1697.69,457,334.009
20220422  05:00:00,332.84,335,332.57,334.88,5797.68,1833,334.091
20220422  07:00:00,333.5,335.62,331.64,332.91,109294.8,65240,333.539
20220422  09:00:00,332.91,335.04,329.13,329.15,196552.5,114126,331.895
20220422  11:00:00,329.14,330.13,327.12,327.12,111471.91,58922,328.662
20220422  13:00:00,327.12,329.05,324.98,325.4,227854.37,104664,326.924
20220422  15:00:00,325.37,325.65,324,324.5,26379.32,4941,324.922
20220422  17:00:00,324.57,324.57,324.04,324.25,1015.07,285,324.284
20220425  03:00:00,323.5,324.03,321.89,322.89,3690.35,956,322.913
20220425  05:00:00,323.08,323.21,321.2,322.74,8281.42,2985,322.503
20220425  07:00:00,322.8,325.65,321.26,322.74,126869.96,69215,323.959
20220425  09:00:00,322.73,328.01,322.51,323.16,270091.03,157716,324.882
20220425  11:00:00,323.14,326.75,322.56,325.2,143544.24,84713,325.211
20220425  13:00:00,325.22,329.9,324.52,329.62,218123.43,125234,327.63
20220425  15:00:00,329.62,330.04,323.67,329.55,24520.88,2657,329.21
20220425  17:00:00,329.54,329.7,329.05,329.43,2849.82,697,329.345
20220426  03:00:00,327.83,329.56,327.65,329.09,973.02,323,328.625
20220426  05:00:00,328.98,329.24,327.9,328.58,3724.55,1402,328.295
20220426  07:00:00,328.6,329.83,322.88,323.25,94352.4,53053,325.309
20220426  09:00:00,323.21,323.4,319.05,319.18,243364.66,141181,320.865
20220426  11:00:00,319.19,322.31,318.94,319.72,154815.91,82496,320.419
20220426  13:00:00,319.69,321.89,316.85,316.91,270873.03,150513,319.13
20220426  15:00:00,316.88,317.26,311.88,314.49,71720.28,13541,314.936
20220426  17:00:00,314.4,317.74,313.7,316.65,23279.96,5929,316.046
20220427  03:00:00,318.76,321.05,318.76,320.14,5799.67,1382,320.012
20220427  05:00:00,320.23,320.56,317.07,317.58,9022.59,3360,318.536
20220427  07:00:00,318.13,322.88,316.52,320.93,125734.09,55997,319.933
20220427  09:00:00,320.94,322.06,315,318.76,304041.99,163441,318.144
20220427  11:00:00,318.79,322.29,317.64,320.79,206118.89,103656,320.362
20220427  13:00:00,320.77,320.96,316.11,316.73,216159.21,109624,317.932
20220427  15:00:00,316.74,321.58,316.33,321.49,46919.25,8882,319.007
20220427  17:00:00,321.49,321.5,320.51,320.91,5858.98,1600,320.908
20220428  03:00:00,322.2,325.08,322.2,323.57,3286.22,809,324.018
20220428  05:00:00,323.45,324.3,322.85,323.13,5525.04,1639,323.453
20220428  07:00:00,323.26,325.09,316.76,320.02,137044.39,74593,321.229
20220428  09:00:00,320.02,321.88,317.52,320.05,172655,74444,319.673
20220428  11:00:00,320.07,327.69,319.53,327.59,169039.22,84706,325.155
20220428  13:00:00,327.58,329.89,326.72,327.94,208465.05,105955,328.216
20220428  15:00:00,327.95,328.12,318.87,321.35,74015.29,13871,325.28
20220428  17:00:00,321.35,323.6,321.07,322.75,9805.59,2599,322.456
20220429  03:00:00,324.51,326.13,324.09,324.29,2338.92,570,324.834
20220429  05:00:00,324.52,324.9,322.8,323.18,4023.3,1365,323.719
20220429  07:00:00,323.99,327.23,322.21,326.99,111519.15,48466,324.462
20220429  09:00:00,326.98,327.15,320.47,320.9,184825.74,91054,322.617
20220429  11:00:00,320.9,321.09,317.97,318.06,133890.85,65836,319.122
20220429  13:00:00,318.06,318.48,312.6,313.24,276291.67,139521,315.24
20220429  15:00:00,313.24,314.52,313.07,314.25,36922.89,5595,313.651
20220429  17:00:00,314.3,314.59,313.25,314.25,1179.5,260,314.031
20220502  03:00:00,314.06,315.69,313.25,314.55,2511.45,680,314.852
20220502  05:00:00,314.52,315.23,311,311.43,7321.33,2650,312.93
20220502  07:00:00,314.68,316.12,310.44,314.92,117100.05,59691,313.356
20220502  09:00:00,314.91,317.76,312.1,314.42,232162.44,139280,314.451
20220502  11:00:00,314.41,315.62,310.34,311.43,164924.22,99204,312.749
20220502  13:00:00,311.44,318.72,309.64,318.46,293891.89,174048,314.669
20220502  15:00:00,318.45,318.77,317.28,318,31617.6,4778,318.268
20220502  17:00:00,318,318.19,317.42,318.03,2480.56,615,317.843
20220503  03:00:00,318.39,319.83,318.09,318.54,1744.86,459,318.842
20220503  05:00:00,318.58,318.81,316.83,318.17,3032.43,1174,317.492
20220503  07:00:00,316.99,320.05,315.98,319.43,111928.4,59387,317.648
20220503  09:00:00,319.41,320.43,316.16,319.29,188400.78,96275,318.605
20220503  11:00:00,319.26,321.17,317.36,320.06,114727.99,56183,319.22
20220503  13:00:00,320.03,320.11,316.62,318.91,170749.63,83372,318.547
20220503  15:00:00,318.92,320.31,318.74,319.71,26940.52,3588,319.224
20220503  17:00:00,319.71,319.95,319.28,319.54,3398.99,604,319.567
20220504  03:00:00,319.58,319.93,318.96,319.79,405.46,123,319.502
20220504  05:00:00,319.83,320.43,319.59,319.91,1872.16,714,319.975
20220504  07:00:00,320.35,320.42,317.11,317.15,61446.27,30572,318.643
20220504  09:00:00,317.16,317.37,313.89,315.79,154384.95,72401,315.387
20220504  11:00:00,315.78,320.92,315.5,320.23,129567.66,67353,318.435
20220504  13:00:00,320.2,330.29,315.25,329.74,569682.55,258430,322.952
20220504  15:00:00,329.74,329.75,328.63,329.21,28110.28,3696,329.388
20220504  17:00:00,329.2,329.9,328.99,329.25,3822.47,1082,329.287
20220505  03:00:00,327.5,327.78,326.02,327.12,2994.19,675,327.069
20220505  05:00:00,327.04,327.77,326.71,327.08,4955.69,1669,327.21
20220505  07:00:00,326.98,329.5,320.61,321.02,141500.88,86095,323.301
20220505  09:00:00,321.06,321.1,312.91,312.98,378494.23,229120,316.381
20220505  11:00:00,312.96,315.99,311.89,312.81,231141.8,124314,313.995
20220505  13:00:00,312.77,314.3,309.62,313.39,399195.96,217746,311.904
20220505  15:00:00,313.41,314.87,313,314.02,43070.88,6916,313.534
20220505  17:00:00,313.91,314.1,313.13,314.01,5225.78,1571,313.647
20220506  03:00:00,311.66,313.47,311.13,312.41,2714.99,673,312.268
20220506  05:00:00,312.36,312.56,310.19,311.4,5506.27,1862,311.276
20220506  07:00:00,311.31,314.2,305.1,305.84,206635.4,123670,308.158
20220506  09:00:00,305.85,315.09,305.67,309.85,463860.45,274779,310.793
20220506  11:00:00,309.87,313.81,309.04,309.22,176703.76,86768,311.451
20220506  13:00:00,309.19,310.86,306.3,309.4,248966.18,137317,308.619
20220506  15:00:00,309.4,309.65,307.83,308.58,23778.3,4304,308.758
20220506  17:00:00,308.6,308.9,308.48,308.9,944.67,236,308.703
20220509  03:00:00,305.58,306.66,303.09,303.69,3705.7,1050,304.454
20220509  05:00:00,303.6,303.84,300.94,302.62,12738.45,3788,302.06
20220509  07:00:00,302.58,309.49,300.98,303.46,134719.17,64485,303.967
20220509  09:00:00,303.47,303.78,298.25,300.38,240031.65,111647,300.679
20220509  11:00:00,300.37,302.65,297.95,298.71,154486.2,67600,300.145
20220509  13:00:00,298.71,300.68,295.72,297.19,296701.89,144451,298.082
20220509  15:00:00,297.2,299.84,297,297.35,32507.56,3939,297.41
20220509  17:00:00,297.38,298.5,297.38,298.2,4923.71,1382,298.042
20220510  03:00:00,300.12,302.65,300.12,301.12,4086.65,1044,301.755
20220510  05:00:00,301.01,301.95,299.64,300.69,7097.7,2410,300.657
20220510  07:00:00,300.18,305.76,299.47,303.69,159022.24,76625,302.989
20220510  09:00:00,303.69,305.49,296.57,298.99,304434.13,150444,300.422
20220510  11:00:00,298.98,304.96,297.12,304.94,228653.16,112986,300.467
20220510  13:00:00,304.96,305.07,300.14,300.82,254900.54,124152,302.658
20220510  15:00:00,300.81,301.21,300.1,300.37,26721.55,3012,300.733
20220510  17:00:00,300.36,301.34,300.25,300.71,2831.99,748,300.792
20220511  03:00:00,302.98,305.24,302.25,304.88,2898.45,628,304.188
20220511  05:00:00,304.84,305.86,304.06,305.09,7620.91,2700,305.188
20220511  07:00:00,305.14,305.84,294.92,301.86,248765.42,107602,299.297
20220511  09:00:00,301.83,302.91,297.8,299.46,255082.25,139460,300.493
20220511  11:00:00,299.46,299.99,292.51,292.69,197270.66,104022,296.106
20220511  13:00:00,292.67,296.54,290.95,291.83,286524.4,149046,292.969
20220511  15:00:00,291.84,300.47,291.34,292.18,30608.55,4512,292.288
20220511  17:00:00,292.29,292.88,291.35,292.6,4506.91,1378,292.184
20220512  03:00:00,290.78,291,287.5,288.5,2975.86,846,288.85
20220512  05:00:00,288.44,290.45,286.6,286.83,9569.4,3419,288.671
20220512  07:00:00,286.79,292.45,285.04,287.53,172081.22,78195,287.57
20220512  09:00:00,287.49,295.75,286.26,288.78,296741.64,146284,291.633
20220512  11:00:00,288.78,292.12,285.63,286.21,157087.52,78445,289.166
20220512  13:00:00,286.17,291.44,284.94,291.25,248719.47,116938,287.96
20220512  15:00:00,291.26,291.39,289.04,290.16,35872.69,4231,290.9
