Time,Open,High,Low,Close,Volume,Count,Wap
20180507 04:00:00 US/Eastern,165.6,166.02,165.6,165.94,15930,51,165.74
20180507 05:00:00 US/Eastern,165.87,166,165.8,165.9,13673,35,165.932
20180507 06:00:00 US/Eastern,165.85,165.97,165.7,165.92,14010,49,165.825
20180507 07:00:00 US/Eastern,165.85,166.09,165.79,165.85,97081,244,165.932
20180507 08:00:00 US/Eastern,166.04,166.04,165.61,165.85,179556,368,165.752
20180507 09:00:00 US/Eastern,165.84,166.56,165.51,166.41,4979252,14714,166.137
20180507 10:00:00 US/Eastern,166.41,166.6,165.98,166.45,4156729,16800,166.291
20180507 11:00:00 US/Eastern,166.45,166.72,166.19,166.64,2503653,10745,166.517
20180507 12:00:00 US/Eastern,166.63,166.67,166.14,166.26,2046050,8403,166.474
20180507 13:00:00 US/Eastern,166.26,166.52,166,166.47,3866392,12716,166.206
20180507 14:00:00 US/Eastern,166.47,166.78,166.06,166.24,3601491,13079,166.489
20180507 15:00:00 US/Eastern,166.24,166.46,165.54,166.15,6233329,26402,166.017
20180507 16:00:00 US/Eastern,166.15,166.28,165.96,166,696309,829,166.207
20180507 17:00:00 US/Eastern,166.1,166.1,166,166.08,12632,43,166.06
20180507 18:00:00 US/Eastern,166.04,166.18,165.81,166.07,60475,129,165.961
20180507 19:00:00 US/Eastern,166.06,166.09,165.94,165.97,19263,42,166.013
20180508 04:00:00 US/Eastern,165.85,165.9,165.72,165.88,3100,13,165.828
20180508 05:00:00 US/Eastern,165.7,165.81,165.61,165.68,5000,10,165.679
20180508 06:00:00 US/Eastern,165.84,165.94,165.43,165.52,11500,31,165.674
20180508 07:00:00 US/Eastern,165.57,165.64,165.34,165.57,84067,169,165.534
20180508 08:00:00 US/Eastern,165.56,166,165.34,166,122346,216,165.694
20180508 09:00:00 US/Eastern,166,166.1,165.13,165.42,2953764,9790,165.609
20180508 10:00:00 US/Eastern,165.43,166.01,165.36,165.6,2807772,10728,165.66
20180508 11:00:00 US/Eastern,165.59,166.43,165.41,165.71,3559323,14628,165.85
20180508 12:00:00 US/Eastern,165.69,165.78,165.1,165.31,2135206,8885,165.537
20180508 13:00:00 US/Eastern,165.31,165.88,165.25,165.46,2513931,7227,165.624
20180508 14:00:00 US/Eastern,165.47,166.12,164.86,165.3,3758899,15607,165.497
20180508 15:00:00 US/Eastern,165.29,166.01,165.13,166.01,3202570,14053,165.736
20180508 16:00:00 US/Eastern,166.02,166.11,165.89,166.1,1188777,832,166.024
20180508 17:00:00 US/Eastern,166.09,166.12,166.06,166.1,25269,57,166.078
20180508 18:00:00 US/Eastern,166.11,166.21,166.07,166.08,12571,47,166.141
20180508 19:00:00 US/Eastern,166.15,166.15,165.9,165.96,23720,60,166.057
20180509 04:00:00 US/Eastern,166.38,166.75,166.32,166.75,15189,40,166.478
20180509 05:00:00 US/Eastern,166.76,166.8,166.62,166.77,13284,44,166.724
20180509 06:00:00 US/Eastern,166.73,166.73,166.51,166.52,9146,36,166.573
20180509 07:00:00 US/Eastern,166.53,166.7,166.49,166.5,93689,177,166.573
20180509 08:00:00 US/Eastern,166.55,166.65,166.4,166.45,85181,191,166.502
20180509 09:00:00 US/Eastern,166.42,166.68,166.05,166.12,2929519,10486,166.419
20180509 10:00:00 US/Eastern,166.13,166.57,165.8,165.9,2883421,11739,166.261
