Time,Open,High,Low,Close,Volume,Count,Wap
20221201  03:00:00,293.02,293.33,292.34,292.47,2794.59,395,292.677
20221201  03:15:00,292.42,292.6,292.32,292.6,321.21,97,292.471
20221201  03:30:00,292.64,292.65,292.19,292.37,359.79,95,292.436
20221201  03:45:00,292.39,292.65,292.3,292.65,110.3,33,292.47
20221201  04:00:00,292.7,292.82,292.62,292.8,61.75,34,292.732
20221201  04:15:00,292.86,292.92,292.7,292.78,154.74,33,292.822
20221201  04:30:00,292.82,292.89,292.77,292.84,26,7,292.836
20221201  04:45:00,292.71,292.71,292.4,292.43,62.08,27,292.603
20221201  05:00:00,292.39,292.75,292.31,292.62,262.6,63,292.542
20221201  05:15:00,292.53,292.54,292.38,292.45,19.05,9,292.445
20221201  05:30:00,292.7,292.76,292.58,292.69,233.28,51,292.699
20221201  05:45:00,292.69,293,292.55,292.87,334.47,88,292.752
20221201  06:00:00,292.89,293.2,292.85,293.02,945.15,244,293.058
20221201  06:15:00,293.01,293.06,292.83,292.97,910.09,315,292.956
20221201  06:30:00,292.99,293.38,292.98,293.38,1081.87,408,293.233
20221201  06:45:00,293.25,293.56,293.25,293.51,732.54,343,293.464
20221201  07:00:00,293.11,294,292.41,293.84,2458.24,641,293.516
20221201  07:15:00,293.83,294.09,293.81,294.02,1203.95,553,293.931
20221201  07:30:00,293.98,295.54,293,294.99,7478.91,2616,294.912
20221201  07:45:00,295.02,295.02,293.89,294.14,5982.12,1995,294.301
20221201  08:00:00,294.2,294.45,293.83,294.19,3746.44,1286,294.145
20221201  08:15:00,294.17,294.32,293.64,293.67,3008.56,1064,294.002
20221201  08:30:00,293.67,294.77,293.06,294.65,42873.81,19046,293.945
20221201  08:45:00,294.67,295.56,294.64,294.94,23826.37,10159,295.134
20221201  09:00:00,294.96,295.75,292.02,292.34,41363.59,17242,293.858
20221201  09:15:00,292.34,292.58,291.18,291.37,30255.31,12321,291.756
20221201  09:30:00,291.36,292.13,290.88,291.99,16583.11,7203,291.614
20221201  09:45:00,292,294.06,291.83,294.02,21908.27,7884,293.037
20221201  10:00:00,294.05,294.11,292.99,293.38,14133.95,5255,293.641
20221201  10:15:00,293.38,293.45,292.39,292.84,9356.32,4822,292.908
20221201  10:30:00,292.83,293.64,292.75,293.45,12050.97,4403,293.265
20221201  10:45:00,293.46,293.6,292.5,293.02,9512.38,4052,292.993
20221201  11:00:00,293.02,293.12,291.88,292.29,11819.94,5137,292.317
20221201  11:15:00,292.3,293.27,292.17,293.14,7569.52,3400,292.796
20221201  11:30:00,293.15,293.71,293.04,293.24,7033.56,3303,293.391
20221201  11:45:00,293.24,293.5,292.93,293.41,7261.19,2954,293.23
20221201  12:00:00,293.39,294.08,293.33,293.86,9659.64,3582,293.804
20221201  12:15:00,293.86,293.9,292.7,293.1,8517.94,3626,293.112
20221201  12:30:00,293.11,293.78,292.87,293.68,8179.72,3708,293.334
20221201  12:45:00,293.71,293.91,293.32,293.52,4195.56,2102,293.571
20221201  13:00:00,293.53,293.62,292.98,293.54,6611.51,2611,293.263
20221201  13:15:00,293.54,293.95,293.39,293.72,6433.12,2422,293.641
20221201  13:30:00,293.71,293.98,293.48,293.61,5041.57,2242,293.76
20221201  13:45:00,293.6,294.39,293.53,294.29,9248.57,3739,294.089
20221201  14:00:00,294.29,294.64,293.97,294,8494.44,3335,294.289
20221201  14:15:00,294,294.17,293.52,293.78,10720.74,4827,293.774
20221201  14:30:00,293.77,294.67,293.71,294.65,11066,4744,294.153
20221201  14:45:00,294.64,294.66,293.66,293.72,23385.79,10832,294.015
20221201  15:00:00,293.72,293.73,293.26,293.43,7482.76,1233,293.561
20221201  15:15:00,293.46,293.72,293.25,293.25,3785.82,281,293.668
20221201  15:30:00,293.25,293.34,293.15,293.34,594.75,285,293.247
20221201  15:45:00,293.34,293.34,293.17,293.19,568.43,287,293.248
20221201  16:00:00,293.16,293.29,293.15,293.19,190.27,60,293.218
20221201  16:15:00,293.19,293.22,293.1,293.1,189.38,37,293.151
20221201  16:30:00,293.12,293.21,293.12,293.21,59,28,293.176
20221201  16:45:00,293.21,293.29,293.12,293.22,80.04,30,293.217
20221201  17:00:00,293.15,293.42,293.09,293.27,180.64,58,293.229
20221201  17:15:00,293.25,293.25,293.12,293.12,31,10,293.192
20221201  17:30:00,293.12,293.36,293.12,293.33,34.38,12,293.212
20221201  17:45:00,293.33,293.33,293.21,293.21,26.25,13,293.285
20221201  18:00:00,293.15,293.15,292.7,292.7,337.2,92,292.886
20221201  18:15:00,292.65,292.68,292.5,292.64,308.06,84,292.576
20221201  18:30:00,292.65,292.74,292.62,292.67,152.44,50,292.683
20221201  18:45:00,292.67,292.67,292.52,292.56,598.25,132,292.566
20221202  03:00:00,293.43,293.52,293.1,293.18,210.59,53,293.335
20221202  03:15:00,293.15,293.29,293.07,293.29,99.77,29,293.16
20221202  03:30:00,293.29,293.45,293.14,293.32,102.47,29,293.302
20221202  03:45:00,293.39,293.66,293.36,293.64,101,25,293.446
20221202  04:00:00,293.6,293.78,293.57,293.78,130.67,36,293.659
20221202  04:15:00,293.64,293.68,293.49,293.49,31.56,13,293.56
20221202  04:30:00,293.5,293.65,293.48,293.65,24.09,12,293.575
20221202  04:45:00,293.59,293.69,293.55,293.59,77.62,31,293.613
20221202  05:00:00,293.61,293.61,293.13,293.22,98.31,31,293.207
20221202  05:15:00,293.25,293.35,293.2,293.35,14.33,5,293.25
20221202  05:30:00,293.36,293.36,293.34,293.34,48.65,14,293.341
20221202  05:45:00,293.24,293.38,293.19,293.24,33.45,14,293.261
20221202  06:00:00,293.3,293.3,292.88,293.19,844.13,259,293.085
20221202  06:15:00,293.2,293.46,293.2,293.42,201.98,112,293.36
20221202  06:30:00,293.44,293.62,293.43,293.46,393.66,221,293.521
20221202  06:45:00,293.51,293.62,293.44,293.62,298.19,174,293.517
20221202  07:00:00,293.62,293.94,292.88,293.61,1338.7,501,293.651
20221202  07:15:00,293.58,293.58,293,293.32,1888.13,709,293.257
20221202  07:30:00,293.06,293.06,286,287.36,25685.52,6879,287.491
20221202  07:45:00,287.34,288.7,287,288.17,7308.98,1987,287.915
20221202  08:00:00,288.02,288.11,287.21,287.89,5077.3,1834,287.626
20221202  08:15:00,287.89,288.58,287.83,288.55,4542.58,1259,288.314
20221202  08:30:00,288.54,290.23,288.49,289.48,42232.25,18875,289.54
20221202  08:45:00,289.45,289.88,288.36,289.26,22211.41,10603,289.085
20221202  09:00:00,289.26,291.16,288.73,290.93,27300.53,13254,289.74
20221202  09:15:00,290.91,291.08,289.69,290.07,20643.44,8755,290.465
20221202  09:30:00,290.06,290.84,289.66,290.51,14302.74,6240,290.228
20221202  09:45:00,290.51,291.04,289.89,289.97,14763.99,7075,290.434
20221202  10:00:00,289.97,290.12,289.37,289.73,10176.99,4879,289.728
20221202  10:15:00,289.72,290.74,289.5,290.63,10692.64,4842,290.166
20221202  10:30:00,290.63,291.47,290.33,291.33,12194.16,5422,290.875
20221202  10:45:00,291.33,291.78,290.9,290.93,13414.3,6216,291.353
20221202  11:00:00,290.92,291.8,290.71,291.75,9218.27,4160,291.227
20221202  11:15:00,291.74,291.74,290.86,290.88,8843.16,4298,291.309
20221202  11:30:00,290.89,291.03,290.25,290.56,10779.46,4530,290.608
20221202  11:45:00,290.54,290.73,290.28,290.42,5413.14,2595,290.568
20221202  12:00:00,290.42,290.7,289.8,290.2,8256.98,4252,290.204
20221202  12:15:00,290.19,290.57,290.12,290.54,4673.41,2429,290.367
20221202  12:30:00,290.54,290.81,290.31,290.72,4363.65,1912,290.574
