Time,Open,High,Low,Close,Volume,Count,Wap
20230317  03:00:00,307.45,307.89,306.98,307.14,2780.11,513,307.616
20230317  04:00:00,307.38,307.52,306.7,307.2,946.5,171,307.051
20230317  05:00:00,307.21,307.34,306.75,307.02,419.23,146,307.077
20230317  06:00:00,307.03,307.41,306.5,307.33,2467.24,731,306.99
20230317  07:00:00,307.03,308.03,305.52,305.91,9351.34,3368,306.25
20230317  08:00:00,305.92,308.03,305.9,307.63,73057.51,42933,306.986
20230317  09:00:00,307.68,309.15,304.23,305.16,117179.39,71570,306.415
20230317  10:00:00,305.15,305.72,303.37,304.45,61087.27,34708,304.549
20230317  11:00:00,304.47,306.07,304.22,305.01,53699.84,31637,305.065
20230317  12:00:00,305,306.41,304.95,306.05,51647.61,27391,305.689
20230317  13:00:00,306.06,306.53,303.73,304.63,56849.08,32504,304.842
20230317  14:00:00,304.66,305.77,304.23,305.33,107114.1,56848,305.122
20230317  15:00:00,305.32,305.9,305.25,305.33,15336.78,2613,305.51
20230317  16:00:00,305.27,305.75,305.21,305.7,1296.84,471,305.506
20230317  17:00:00,305.68,305.79,305.36,305.77,32903.07,128,305.366
20230317  18:00:00,305.7,305.77,305.02,305.5,357.62,85,305.639
20230320  03:00:00,304,304.14,301.58,304.03,1012.83,353,303.208
20230320  04:00:00,304.23,305.19,303.92,304.91,680.01,232,304.567
20230320  05:00:00,304.91,305.7,304.66,305.16,1244.03,327,305.161
20230320  06:00:00,305.13,305.27,304.09,304.65,2261.24,800,304.629
20230320  07:00:00,304.49,305.86,302.15,305.47,5830.23,2260,305.013
20230320  08:00:00,305.5,305.52,302.01,302.81,75995.87,44915,303.388
20230320  09:00:00,302.82,304.93,302.59,304.77,71112.31,39251,303.654
20230320  10:00:00,304.77,306.05,304.03,304.09,50633.58,27852,305.094
20230320  11:00:00,304.09,304.94,302.85,304.57,47604.31,25799,303.908
20230320  12:00:00,304.61,305.44,304.49,305.18,33178.33,17763,305.021
20230320  13:00:00,305.16,305.74,304.48,305.17,37143.51,19925,305.102
20230320  14:00:00,305.15,306.3,304.73,305.91,62597.05,30394,305.551
20230320  15:00:00,305.93,306.19,305.78,306.08,25801.62,1436,305.954
20230320  16:00:00,306.1,306.3,306.07,306.11,309.26,93,306.166
20230320  17:00:00,306.11,306.13,305.78,306.04,547.71,115,305.976
20230320  18:00:00,306,306,305.68,305.89,372.24,118,305.816
20230321  03:00:00,306.67,306.94,306.35,306.59,351.05,112,306.648
20230321  04:00:00,306.35,306.52,306.08,306.52,381.32,125,306.332
20230321  05:00:00,306.69,307.29,306.43,306.77,630.07,208,306.871
20230321  06:00:00,306.76,308.32,306.75,308.13,2141.34,702,307.703
20230321  07:00:00,308.01,308.28,305.91,307.67,4021.96,1665,307.763
20230321  08:00:00,307.64,308.94,307.59,308.85,48911.47,28720,308.346
20230321  09:00:00,308.86,309.4,306.41,306.86,65459.35,39186,307.785
20230321  10:00:00,306.87,307.98,306.39,306.85,43883.32,27861,307.156
20230321  11:00:00,306.87,308.21,306.67,308.01,36699.75,21346,307.595
20230321  12:00:00,308,308.95,307.81,308.06,31551.28,18023,308.415
20230321  13:00:00,308.09,309.64,308.03,309.43,31415.84,16926,308.755
20230321  14:00:00,309.43,310.8,309.39,310.32,84199.72,44925,310.147
20230321  15:00:00,310.32,310.52,310.19,310.22,19415.17,1609,310.331
20230321  16:00:00,310.28,310.31,310.01,310.03,1132.57,203,310.131
20230321  17:00:00,310.09,310.34,309.99,310.06,5812.58,225,310.283
20230321  18:00:00,310.13,310.22,309.99,310.1,415.48,142,310.111
20230322  03:00:00,309.28,309.34,308.75,308.93,507.14,158,309.091
20230322  04:00:00,308.82,309.64,308.81,309.39,266.33,82,309.173
20230322  05:00:00,309.48,309.89,309.32,309.83,414.87,127,309.565
20230322  06:00:00,309.78,310.14,309.59,309.75,1003.6,386,309.835
20230322  07:00:00,309.76,310.58,308.82,309.85,1683.57,839,309.701
20230322  08:00:00,309.78,310.82,309.74,310.51,29322.6,17570,310.25
20230322  09:00:00,310.5,311.84,310.03,311.22,47077.88,26778,311.079
20230322  10:00:00,311.21,311.98,310.59,311.66,27944.45,14439,311.488
20230322  11:00:00,311.67,311.67,310.29,310.7,25662.96,13918,310.757
20230322  12:00:00,310.71,311.66,310.21,311.47,25195.27,13412,310.969
20230322  13:00:00,311.51,315.25,310.33,311.41,203051.16,102974,312.851
20230322  14:00:00,311.41,313.08,305.95,305.99,184831.57,97850,309.72
20230322  15:00:00,306.01,306.45,305.51,306.08,21487.01,4759,305.983
20230322  16:00:00,306.19,306.28,306.08,306.2,1912.75,293,306.144
20230322  17:00:00,306.12,306.65,306.01,306.58,1692.38,419,306.451
20230322  18:00:00,306.55,306.65,306.27,306.5,1252.14,269,306.488
20230323  03:00:00,308.83,309.9,308.08,309.53,1459.6,423,309.298
20230323  04:00:00,309.6,309.6,308.95,309.41,563.04,173,309.329
20230323  05:00:00,309.39,309.52,308.4,309.18,1264.96,311,308.951
20230323  06:00:00,309.15,309.43,308.89,309.17,1985.95,786,309.145
20230323  07:00:00,309.2,309.64,306.34,309.15,7652.32,2842,309.101
20230323  08:00:00,309.14,310.93,308.7,310.8,55112.9,33349,310.268
20230323  09:00:00,310.81,313.56,310.7,313.32,78667.18,45456,312.147
20230323  10:00:00,313.35,314.15,312.62,313.09,52483.03,26518,313.351
20230323  11:00:00,313.08,313.44,312.12,312.39,42556.44,22948,312.761
20230323  12:00:00,312.41,312.83,310.67,310.81,50520.55,27759,311.663
20230323  13:00:00,310.81,311.3,307.05,308.72,90561.97,47765,308.913
20230323  14:00:00,308.72,311.32,307.01,309.78,132335.39,72287,309.405
20230323  15:00:00,309.78,310.86,309.31,310.38,19957.29,3670,309.79
20230323  16:00:00,310.36,310.58,309.75,310.52,2267.54,217,309.959
20230323  17:00:00,310.46,310.55,309.52,309.71,1296.08,329,309.927
20230323  18:00:00,309.78,310.27,309.75,310.2,906.29,205,310.104
20230324  03:00:00,311.21,311.23,309.26,310.12,783.74,207,310.209
20230324  04:00:00,309.92,310.49,308.43,308.52,613.45,153,309.348
20230324  05:00:00,308.52,309.04,308.1,308.82,1226.14,302,308.606
20230324  06:00:00,308.9,309.03,307.93,308.18,3023.69,1278,308.503
20230324  07:00:00,308.8,311.74,307.55,308.87,10986.02,3679,308.361
20230324  08:00:00,308.88,309.73,307.18,309.21,69723.53,38488,308.477
20230324  09:00:00,309.25,309.71,307.65,308.74,87759.98,49484,308.689
20230324  10:00:00,308.75,309.53,306.95,309.35,73760.31,39563,308.099
20230324  11:00:00,309.36,310,307.55,308.71,52041.04,30708,308.607
20230324  12:00:00,308.73,309.77,308.24,308.97,39872.5,22813,308.94
20230324  13:00:00,308.98,310.32,308.81,309.9,35969.93,20939,309.656
20230324  14:00:00,309.92,310.99,309.44,310.95,69704.61,35759,310.429
20230324  15:00:00,310.94,311.63,310.79,311.58,10833.37,1994,311.069
20230324  16:00:00,311.46,311.59,310.89,311.39,991.07,131,311.16
20230324  17:00:00,311.35,311.46,311.35,311.41,158.69,36,311.413
20230324  18:00:00,311.41,311.6,311.33,311.57,219.66,70,311.505
20230327  03:00:00,310.78,311.45,310.35,311.32,628.83,146,310.994
20230327  04:00:00,311.32,311.69,311.1,311.41,337.09,70,311.304
20230327  05:00:00,311.57,312.04,311.57,311.86,474.94,116,311.858
20230327  06:00:00,311.82,312.5,311.79,312.21,2171.61,629,312.172
20230327  07:00:00,312.21,312.7,310.13,311.48,3621.03,1385,311.886
20230327  08:00:00,311.53,312.7,310.71,311.91,66947.88,35419,311.614
20230327  09:00:00,311.91,312.3,310.09,310.17,59864.65,31763,311.25
20230327  10:00:00,310.18,310.35,308.09,308.26,50379.69,26287,309.454
20230327  11:00:00,308.26,309.18,307.89,308.52,44854.75,23058,308.44
20230327  12:00:00,308.51,309.57,307.97,308.9,34395.81,16995,308.803
20230327  13:00:00,308.88,310.18,308.48,310.1,32347.74,15819,309.503
20230327  14:00:00,310.1,310.4,308.16,308.71,81751.78,38444,309.159
20230327  15:00:00,308.71,309.16,308.66,309.05,14944.99,1588,308.83
20230327  16:00:00,309,309.07,308.97,309,406.19,91,309.03
20230327  17:00:00,308.94,309.1,308.79,309.09,317.78,107,308.903
20230327  18:00:00,309.09,309.33,309.08,309.29,789.54,177,309.222
20230328  03:00:00,307.88,308.79,307.62,307.9,494.99,144,307.806
20230328  04:00:00,308.02,308.2,307.76,307.96,363.98,98,307.969
20230328  05:00:00,307.92,308.08,307.62,307.92,287.67,78,307.798
20230328  06:00:00,307.94,308.68,307.8,308.52,1276.95,356,308.18
20230328  07:00:00,308.04,309.25,307.63,308.09,3204.94,1179,308.179
20230328  08:00:00,308.04,308.24,305.94,306.19,65381.92,33493,306.735
20230328  09:00:00,306.17,307.11,305.15,305.31,65067.65,32582,306.032
20230328  10:00:00,305.31,306.9,305.25,306.66,46365.16,24228,306.319
20230328  11:00:00,306.66,306.77,305.47,305.94,31599.87,16281,305.997
20230328  12:00:00,305.95,306.23,304.77,304.9,37970.33,20191,305.56
20230328  13:00:00,304.89,306.12,304.81,305.93,31070.13,16248,305.508
20230328  14:00:00,305.94,307.16,305.77,307.11,60913.81,32791,306.493
20230328  15:00:00,307.11,307.63,307.1,307.49,29145.76,2558,307.201
20230328  16:00:00,307.49,307.52,307.38,307.39,586.26,195,307.426
