Time,Open,High,Low,Close,Volume,Count,Wap
20230317  03:00:00,307.482,308,306.9,307.528,-1,-1,-1
20230317  04:00:00,307.095,307.59,306.68,307.137,-1,-1,-1
20230317  05:00:00,307.086,307.37,306.68,307.127,-1,-1,-1
20230317  06:00:00,306.969,307.46,306.43,307.01,-1,-1,-1
20230317  07:00:00,306.402,307.6,305.51,306.433,-1,-1,-1
20230317  08:00:00,306.813,308.04,305.9,306.836,-1,-1,-1
20230317  09:00:00,306.424,309.16,304.22,306.439,-1,-1,-1
20230317  10:00:00,304.513,305.74,303.36,304.528,-1,-1,-1
20230317  11:00:00,304.99,306.08,304.21,305.002,-1,-1,-1
20230317  12:00:00,305.667,306.42,304.94,305.68,-1,-1,-1
20230317  13:00:00,304.834,306.54,303.73,304.846,-1,-1,-1
20230317  14:00:00,305.075,305.78,304.22,305.088,-1,-1,-1
20230317  15:00:00,305.516,305.9,305.25,305.535,-1,-1,-1
20230317  16:00:00,305.525,305.81,305.2,305.582,-1,-1,-1
20230317  17:00:00,305.713,305.8,305.58,305.76,-1,-1,-1
20230317  18:00:00,305.644,305.77,305.35,305.716,-1,-1,-1
20230320  03:00:00,303.211,304.23,301.28,303.264,-1,-1,-1
20230320  04:00:00,304.567,305.29,303.79,304.622,-1,-1,-1
20230320  05:00:00,305.095,305.79,304.6,305.15,-1,-1,-1
20230320  06:00:00,304.629,305.32,304.03,304.68,-1,-1,-1
20230320  07:00:00,304.914,305.91,304.11,304.953,-1,-1,-1
20230320  08:00:00,303.897,305.54,302,303.921,-1,-1,-1
20230320  09:00:00,303.704,304.93,302.58,303.72,-1,-1,-1
20230320  10:00:00,305.081,306.05,304.02,305.094,-1,-1,-1
20230320  11:00:00,303.873,304.84,302.84,303.887,-1,-1,-1
20230320  12:00:00,305.02,305.45,304.47,305.033,-1,-1,-1
20230320  13:00:00,305.068,305.73,304.48,305.081,-1,-1,-1
20230320  14:00:00,305.357,306.3,304.73,305.37,-1,-1,-1
20230320  15:00:00,305.987,306.2,305.76,306.006,-1,-1,-1
20230320  16:00:00,306.121,306.4,306.04,306.163,-1,-1,-1
20230320  17:00:00,305.96,306.18,305.76,306.002,-1,-1,-1
20230320  18:00:00,305.827,306.07,305.66,305.864,-1,-1,-1
20230321  03:00:00,306.594,307.01,306.2,306.638,-1,-1,-1
20230321  04:00:00,306.303,306.6,306,306.346,-1,-1,-1
20230321  05:00:00,306.82,307.33,306.4,306.862,-1,-1,-1
20230321  06:00:00,307.583,308.37,306.69,307.624,-1,-1,-1
20230321  07:00:00,307.763,308.29,307.43,307.794,-1,-1,-1
20230321  08:00:00,308.176,308.94,307.55,308.194,-1,-1,-1
20230321  09:00:00,307.613,309.4,306.41,307.625,-1,-1,-1
20230321  10:00:00,307.22,307.98,306.39,307.231,-1,-1,-1
20230321  11:00:00,307.592,308.22,306.7,307.603,-1,-1,-1
20230321  12:00:00,308.404,308.96,307.81,308.415,-1,-1,-1
20230321  13:00:00,308.711,309.64,308.03,308.722,-1,-1,-1
20230321  14:00:00,310.012,310.79,309.38,310.022,-1,-1,-1
20230321  15:00:00,310.328,310.53,310.17,310.348,-1,-1,-1
20230321  16:00:00,310.107,310.4,310.01,310.153,-1,-1,-1
20230321  17:00:00,310.05,310.2,309.97,310.085,-1,-1,-1
20230321  18:00:00,310.1,310.3,309.96,310.136,-1,-1,-1
20230322  03:00:00,308.989,313.77,308.7,309.031,-1,-1,-1
20230322  04:00:00,309.314,309.68,308.73,309.355,-1,-1,-1
20230322  05:00:00,309.549,309.95,309.27,309.589,-1,-1,-1
20230322  06:00:00,309.88,310.16,309.53,309.922,-1,-1,-1
20230322  07:00:00,309.645,309.92,309.37,309.672,-1,-1,-1
20230322  08:00:00,310.171,310.82,309.72,310.19,-1,-1,-1
20230322  09:00:00,310.967,311.86,310.03,310.978,-1,-1,-1
20230322  10:00:00,311.429,311.98,310.58,311.441,-1,-1,-1
20230322  11:00:00,310.746,311.68,310.28,310.757,-1,-1,-1
20230322  12:00:00,310.928,311.67,310.2,310.94,-1,-1,-1
20230322  13:00:00,312.887,315.25,310.33,312.908,-1,-1,-1
20230322  14:00:00,310.232,313.09,305.94,310.249,-1,-1,-1
20230322  15:00:00,306.034,306.45,305.51,306.06,-1,-1,-1
20230322  16:00:00,306.173,306.39,306,306.222,-1,-1,-1
20230322  17:00:00,306.44,306.66,306,306.48,-1,-1,-1
20230322  18:00:00,306.456,306.67,306.26,306.494,-1,-1,-1
20230323  03:00:00,309.365,309.93,308.06,309.405,-1,-1,-1
20230323  04:00:00,309.292,309.65,308.9,309.333,-1,-1,-1
20230323  05:00:00,308.951,309.55,308.35,308.991,-1,-1,-1
20230323  06:00:00,309.109,309.47,308.89,309.147,-1,-1,-1
20230323  07:00:00,309.04,309.67,308.56,309.073,-1,-1,-1
20230323  08:00:00,309.842,310.94,308.68,309.862,-1,-1,-1
20230323  09:00:00,312.069,313.57,310.73,312.082,-1,-1,-1
20230323  10:00:00,313.352,314.17,312.62,313.365,-1,-1,-1
20230323  11:00:00,312.764,313.45,312.11,312.777,-1,-1,-1
20230323  12:00:00,311.707,312.83,310.66,311.721,-1,-1,-1
20230323  13:00:00,309.19,311.3,307.05,309.204,-1,-1,-1
20230323  14:00:00,309.146,311.34,307.01,309.163,-1,-1,-1
20230323  15:00:00,309.887,310.89,309.27,309.91,-1,-1,-1
20230323  16:00:00,310.313,310.65,310.18,310.358,-1,-1,-1
20230323  17:00:00,309.864,310.6,309.5,309.899,-1,-1,-1
20230323  18:00:00,310.03,310.31,309.69,310.066,-1,-1,-1
20230324  03:00:00,310.166,311.3,309.2,310.212,-1,-1,-1
20230324  04:00:00,309.429,310.58,308.36,309.476,-1,-1,-1
20230324  05:00:00,308.598,309.15,308.03,308.647,-1,-1,-1
20230324  06:00:00,308.526,309.11,307.89,308.573,-1,-1,-1
20230324  07:00:00,308.234,309.16,307.52,308.267,-1,-1,-1
20230324  08:00:00,308.49,309.74,307.17,308.514,-1,-1,-1
20230324  09:00:00,308.651,309.72,307.65,308.666,-1,-1,-1
20230324  10:00:00,307.999,309.53,306.94,308.013,-1,-1,-1
20230324  11:00:00,308.514,310,307.55,308.528,-1,-1,-1
20230324  12:00:00,308.908,309.78,308.24,308.92,-1,-1,-1
20230324  13:00:00,309.575,310.32,308.8,309.587,-1,-1,-1
20230324  14:00:00,310.286,311,309.44,310.299,-1,-1,-1
20230324  15:00:00,311.262,311.66,310.78,311.283,-1,-1,-1
20230324  16:00:00,311.38,311.6,311.31,311.446,-1,-1,-1
20230324  17:00:00,311.387,311.5,311.33,311.45,-1,-1,-1
20230324  18:00:00,311.401,311.64,311.33,311.467,-1,-1,-1
20230327  03:00:00,311.123,311.57,310.2,311.168,-1,-1,-1
20230327  04:00:00,311.323,311.91,311.04,311.367,-1,-1,-1
20230327  05:00:00,311.782,312.17,311.52,311.826,-1,-1,-1
20230327  06:00:00,312.179,312.52,311.78,312.222,-1,-1,-1
20230327  07:00:00,311.903,312.4,311.38,311.933,-1,-1,-1
20230327  08:00:00,311.732,312.71,310.71,311.752,-1,-1,-1
20230327  09:00:00,311.223,312.3,310.09,311.237,-1,-1,-1
20230327  10:00:00,309.499,310.36,308.09,309.514,-1,-1,-1
20230327  11:00:00,308.469,309.19,307.89,308.482,-1,-1,-1
20230327  12:00:00,308.818,309.58,307.97,308.832,-1,-1,-1
20230327  13:00:00,309.456,310.19,308.47,309.469,-1,-1,-1
20230327  14:00:00,309.448,310.4,308.15,309.461,-1,-1,-1
20230327  15:00:00,309.016,309.18,308.65,309.034,-1,-1,-1
20230327  16:00:00,309.009,309.13,308.94,309.055,-1,-1,-1
20230327  17:00:00,308.879,309.14,308.78,308.915,-1,-1,-1
20230327  18:00:00,309.148,309.35,309.03,309.179,-1,-1,-1
20230328  03:00:00,307.814,310.02,307.59,307.856,-1,-1,-1
20230328  04:00:00,308.007,308.25,307.74,308.046,-1,-1,-1
20230328  05:00:00,307.878,308.16,307.61,307.919,-1,-1,-1
20230328  06:00:00,308.28,308.7,307.78,308.321,-1,-1,-1
20230328  07:00:00,308.216,308.68,307.75,308.246,-1,-1,-1
20230328  08:00:00,307.237,308.27,305.93,307.258,-1,-1,-1
20230328  09:00:00,306.036,307.12,305.14,306.05,-1,-1,-1
20230328  10:00:00,306.345,306.9,305.25,306.357,-1,-1,-1
20230328  11:00:00,306,306.77,305.47,306.011,-1,-1,-1
20230328  12:00:00,305.61,306.24,304.77,305.621,-1,-1,-1
20230328  13:00:00,305.515,306.13,304.81,305.527,-1,-1,-1
20230328  14:00:00,306.342,307.16,305.77,306.352,-1,-1,-1
20230328  15:00:00,307.422,307.65,307.1,307.44,-1,-1,-1
