Time,Open,High,Low,Close,Volume,Count,Wap
20230317  03:00:00,0.0053,0.0053,0.0053,0.0053,-1,-1,-1
20230317  04:00:00,0.0053,0.0053,0.0053,0.0053,-1,-1,-1
20230317  05:00:00,0.0053,0.0053,0.0053,0.0053,-1,-1,-1
20230317  06:00:00,0.0053,0.0053,0.0053,0.0053,-1,-1,-1
20230317  07:00:00,0.0053,0.0053,0.0053,0.0053,-1,-1,-1
20230317  08:00:00,0.0053,0.0062,0.0053,0.0062,-1,-1,-1
20230317  09:00:00,0.0062,0.0062,0.0062,0.0062,-1,-1,-1
20230317  10:00:00,0.0062,0.0062,0.0061,0.0061,-1,-1,-1
20230317  11:00:00,0.0061,0.0061,0.0061,0.0061,-1,-1,-1
20230317  12:00:00,0.0061,0.007,0.0061,0.007,-1,-1,-1
20230317  13:00:00,0.007,0.007,0.007,0.007,-1,-1,-1
20230317  14:00:00,0.007,0.007,0.007,0.007,-1,-1,-1
20230317  15:00:00,0.007,0.007,0.007,0.007,-1,-1,-1
20230317  16:00:00,0.007,0.007,0.007,0.007,-1,-1,-1
20230317  17:00:00,0.007,0.007,0.007,0.007,-1,-1,-1
20230317  18:00:00,0.007,0.007,0.007,0.007,-1,-1,-1
20230320  08:00:00,0.0115,0.0115,0.0115,0.0115,-1,-1,-1
20230320  09:00:00,0.0115,0.0115,0.0115,0.0115,-1,-1,-1
20230320  10:00:00,0.0115,0.0115,0.0101,0.0101,-1,-1,-1
20230320  11:00:00,0.0101,0.0101,0.0101,0.0101,-1,-1,-1
20230320  12:00:00,0.0101,0.0101,0.01,0.01,-1,-1,-1
20230320  13:00:00,0.01,0.01,0.01,0.01,-1,-1,-1
20230320  14:00:00,0.01,0.01,0.01,0.01,-1,-1,-1
20230320  15:00:00,0.01,0.01,0.0099,0.0099,-1,-1,-1
20230320  16:00:00,0.0099,0.0099,0.0099,0.0099,-1,-1,-1
20230320  17:00:00,0.0099,0.0099,0.0099,0.0099,-1,-1,-1
20230320  18:00:00,0.0099,0.0099,0.0099,0.0099,-1,-1,-1
20230321  03:00:00,0.0099,0.0099,0.0099,0.0099,-1,-1,-1
20230321  04:00:00,0.0099,0.0099,0.0099,0.0099,-1,-1,-1
20230321  05:00:00,0.0099,0.0099,0.0099,0.0099,-1,-1,-1
20230321  06:00:00,0.0099,0.0099,0.0099,0.0099,-1,-1,-1
20230321  07:00:00,0.0099,0.0099,0.0099,0.0099,-1,-1,-1
20230321  08:00:00,0.0099,0.0099,0.0085,0.0085,-1,-1,-1
20230321  09:00:00,0.0085,0.0085,0.0085,0.0085,-1,-1,-1
20230321  10:00:00,0.0085,0.0095,0.0085,0.0095,-1,-1,-1
