Time,Open,High,Low,Close,Volume,Count,Wap
20230317  14:00:00,0.23494272,0.23494272,0.23494272,0.23494272,0.01,,0.23499034
20230320  14:00:00,0.22224311,0.22224311,0.22224311,0.22224311,0.01,,0.222116114
20230321  14:00:00,0.22224311,0.22224311,0.22224311,0.22224311,0.01,,0.221544632
20230322  14:00:00,0.22383056,0.22383056,0.22383056,0.22383056,0.01,,0.224259173
20230323  14:00:00,0.23018036,0.23018036,0.23018036,0.23018036,0.01,,0.229593007
20230324  14:00:00,0.22383056,0.22383056,0.22383056,0.22383056,0.01,,0.223306702
20230327  14:00:00,0.22224311,0.22224311,0.22224311,0.22224311,0.01,,0.222084365
20230328  14:00:00,0.22065566,0.22065566,0.22065566,0.22065566,0.01,,0.220957275
20230329  14:00:00,0.22065566,0.22065566,0.22065566,0.22065566,0.01,,0.220465165
20230330  14:00:00,0.22065566,0.22065566,0.22065566,0.22065566,0.01,,0.2209414
20230331  14:00:00,0.21430586,0.21430586,0.21430586,0.21430586,0.01,,0.214718593
20230403  14:00:00,0.21430586,0.21430586,0.21430586,0.21430586,0.01,,0.213670876
20230404  14:00:00,0.2095435,0.2095435,0.2095435,0.2095435,0.01,,0.209829245
20230405  14:00:00,0.21113095,0.21113095,0.21113095,0.21113095,0.01,,0.210400727
20230406  14:00:00,0.2063686,0.2063686,0.2063686,0.2063686,0.01,,0.206511473
