Time,Open,High,Low,Close,Volume,Count,Wap
20230317  08:30:00,0.23811762,0.24764232,0.23811762,0.24287997,0.01,,0.247356582
20230317  09:00:00,0.24287997,0.25716703,0.23811762,0.25240468,0.01,,0.257151153
20230317  10:00:00,0.25240468,0.26192938,0.24922977,0.26192938,0.01,,0.261516643
20230317  11:00:00,0.26192938,0.26192938,0.25081722,0.25716703,0.01,,0.261135654
20230317  12:00:00,0.25716703,0.25875448,0.24764232,0.25716703,0.01,,0.258182996
20230317  13:00:00,0.25716703,0.26669173,0.25399213,0.26192938,0.01,,0.266580611
20230317  14:00:00,0.26192938,0.26351683,0.25716703,0.26192938,0.01,,0.263707325
20230320  08:30:00,0.26034193,0.26986663,0.26034193,0.26351683,0.01,,0.270660359
20230320  09:00:00,0.26351683,0.26351683,0.25240468,0.25240468,0.01,,0.264120062
20230320  10:00:00,0.25240468,0.25399213,0.24922977,0.25399213,0.01,,0.25450011
20230320  11:00:00,0.25399213,0.26351683,0.25399213,0.25399213,0.01,,0.262913599
20230320  12:00:00,0.25399213,0.25557958,0.25081722,0.25557958,0.01,,0.255293836
20230320  13:00:00,0.25557958,0.25557958,0.25240468,0.25240468,0.01,,0.255992314
20230320  14:00:00,0.25240468,0.25557958,0.25081722,0.25081722,0.01,,0.254896973
20230321  08:30:00,0.25081722,0.25081722,0.23653017,0.23653017,0.01,,0.250515609
20230321  09:00:00,0.23653017,0.23970507,0.23494272,0.23811762,0.01,,0.238927218
20230321  10:00:00,0.23811762,0.24129252,0.23494272,0.23970507,0.01,,0.241260771
20230321  11:00:00,0.23970507,0.23970507,0.23494272,0.23494272,0.01,,0.239784441
20230321  12:00:00,0.23494272,0.23811762,0.23335527,0.23811762,0.01,,0.237784253
20230321  13:00:00,0.23811762,0.23811762,0.23335527,0.23335527,0.01,,0.238292238
20230321  14:00:00,0.23335527,0.23653017,0.23335527,0.23335527,0.01,,0.236244426
20230322  08:30:00,0.23335527,0.23335527,0.23018036,0.23018036,0.01,,0.234053744
20230322  09:00:00,0.23018036,0.23176781,0.22700546,0.22700546,0.01,,0.231942434
20230322  10:00:00,0.22700546,0.23176781,0.22700546,0.23176781,0.01,,0.231275705
20230322  11:00:00,0.23176781,0.23653017,0.23176781,0.23653017,0.01,,0.236641289
20230322  12:00:00,0.23653017,0.23811762,0.23335527,0.23494272,0.01,,0.238720849
20230322  13:00:00,0.23494272,0.23494272,0.22224311,0.22859291,0.01,,0.234387109
20230322  14:00:00,0.22859291,0.23653017,0.22383056,0.23176781,0.01,,0.237038151
20230323  08:30:00,0.24446742,0.24446742,0.22859291,0.23018036,0.01,,0.243832441
20230323  09:00:00,0.23018036,0.23018036,0.22700546,0.22700546,0.01,,0.229894623
20230323  10:00:00,0.22700546,0.23018036,0.22700546,0.22859291,0.01,,0.229910497
20230323  11:00:00,0.22859291,0.23653017,0.22859291,0.23494272,0.01,,0.237038151
20230323  12:00:00,0.23494272,0.24129252,0.23335527,0.23970507,0.01,,0.240673414
20230323  13:00:00,0.23970507,0.25716703,0.23811762,0.25240468,0.01,,0.257579765
20230323  14:00:00,0.25240468,0.25399213,0.24287997,0.24605487,0.01,,0.253627012
20230324  08:30:00,0.24287997,0.26192938,0.24287997,0.25399213,0.01,,0.262103999
20230324  09:00:00,0.25399213,0.25716703,0.24922977,0.25081722,0.01,,0.25707178
20230324  10:00:00,0.25081722,0.25716703,0.24605487,0.24764232,0.01,,0.256706667
