Time,Open,High,Low,Close,Volume,Count,Wap
20230403  03:00:00,319.92,319.92,319.46,319.46,40.4,14,319.517
20230403  03:00:30,319.44,319.48,319.43,319.46,47.6,17,319.454
20230403  03:01:00,319.46,319.52,319.46,319.52,12,5,319.503
20230403  03:01:30,319.56,319.56,319.53,319.55,26.41,9,319.545
20230403  03:02:00,319.53,319.61,319.5,319.58,31,10,319.525
20230403  03:02:30,319.47,319.47,319.43,319.43,14.2,3,319.463
20230403  03:03:00,319.43,319.43,319.39,319.4,16.67,8,319.406
20230403  03:03:30,319.32,319.35,319.31,319.35,12,4,319.314
20230403  03:04:00,319.32,319.32,319.29,319.3,6.9,4,319.304
20230403  03:04:30,319.3,319.3,319.3,319.3,0,,319.3
20230403  03:05:00,319.25,319.27,319.24,319.24,7,3,319.26
20230403  03:05:30,319.24,319.24,319.24,319.24,0,,319.24
20230403  03:06:00,319.24,319.24,319.24,319.24,0,,319.24
20230403  03:06:30,319.19,319.22,319.18,319.2,15.41,7,319.193
20230403  03:07:00,319.2,319.2,319.15,319.17,54.04,9,319.161
20230403  03:07:30,319.18,319.18,319.14,319.14,75.29,16,319.155
20230403  03:08:00,319.14,319.14,319.12,319.12,29,7,319.139
20230403  03:08:30,319.12,319.12,319.03,319.03,20,4,319.035
20230403  03:09:00,319.03,319.05,319.02,319.02,27.99,4,319.032
20230403  03:09:30,319.08,319.08,318.95,318.97,24.69,8,318.983
20230403  03:10:00,319,319.03,318.96,318.99,51.11,12,318.993
20230403  03:10:30,318.99,319.04,318.98,319.04,16.92,6,319.023
20230403  03:11:00,319,319,318.99,318.99,5.35,2,318.996
20230403  03:11:30,319,319,319,319,2,1,319
20230403  03:12:00,319.07,319.07,319.05,319.05,6.67,2,319.053
20230403  03:12:30,319.06,319.07,319.06,319.07,5,5,319.064
20230403  03:13:00,319.02,319.02,319.02,319.02,5.07,2,319.02
20230403  03:13:30,318.98,318.98,318.93,318.93,3,3,318.957
20230403  03:14:00,318.91,318.91,318.91,318.91,7,3,318.91
20230403  03:14:30,318.96,318.98,318.96,318.98,6.13,2,318.97
20230403  03:15:00,318.96,319.01,318.96,319.01,10.49,3,318.991
20230403  03:15:30,319.01,319.01,319.01,319.01,0,,319.01
20230403  03:16:00,319.01,319.01,319.01,319.01,0,,319.01
20230403  03:16:30,318.87,318.87,318.87,318.87,2.5,1,318.87
20230403  03:17:00,318.98,318.98,318.98,318.98,8,2,318.98
